CODE,BIG,MIDDLE,SMALL,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
hb011,요식/유흥,요식,한식,70,70,60,30,40,40,50,50,50,40
hb012,요식/유흥,요식,일식/중식/양식,60,70,40,50,40,35,20,50,20,10
hb013,요식/유흥,요식,제과점,60,70,30,40,30,30,20,30,15,10
hb014,요식/유흥,요식,커피전문점,60,70,35,40,40,25,35,20,20,10
hb015,요식/유흥,요식,패스트푸드,70,70,50,40,15,9,10,10,10,10
hb016,요식/유흥,유흥,노래방,40,20,20,10,5,5,10,5,1,1
hb017,요식/유흥,유흥,기타유흥업소,10,1,10,10,15,15,15,5,5,2
hb018,요식/유흥,유흥,유흥주점,35,20,25,20,30,10,30,10,5,2
hb021,유통,유통,백화점,20,20,20,40,40,40,25,30,15,20
hb022,유통,유통,할인점,40,30,30,30,15,20,15,25,15,20
hb023,유통,유통,슈퍼마켓,20,15,15,15,15,20,15,15,25,25
hb024,유통,유통,생활잡화,30,40,30,30,15,20,15,23,10,15
hb025,유통,유통,편의점,70,60,60,50,45,45,40,40,35,35
hb031,음/식료품,음/식료품,정육점,5,5,10,20,15,15,20,20,10,15
hb032,음/식료품,음/식료품,농수산물,5,5,10,20,17,15,20,20,10,30
hb033,음/식료품,음/식료품,음/식료품,10,10,10,20,10,10,10,15,10,30
hb041,의류/잡화,의복/의류,의복/의류,20,40,15,30,20,25,15,15,10,15
hb042,의류/잡화,패션/잡화,패션/잡화,20,40,15,30,20,25,15,15,10,15
hb043,의류/잡화,패션/잡화,안경,1,1,1,10,10,10,10,10,8,10
hb044,의류/잡화,패션/잡화,귀금속,0,0,1,10,10,10,10,0,8,10
hb051,스포츠/문화/레저,스포츠,실내골프/헬스,12,7,40,10,30,5,40,30,30,7
hb052,스포츠/문화/레저,스포츠,실외골프/스키,10,5,40,10,30,5,50,5,5,2
hb053,스포츠/문화/레저,스포츠,스포츠시설,40,10,40,10,10,5,10,5,7,5
hb054,스포츠/문화/레저,레저,종합레저시설,40,30,40,3,10,10,7,5,7,2
hb055,스포츠/문화/레저,문화,영화/공연,20,40,20,30,15,25,10,20,10,10
hb056,스포츠/문화/레저,문화,취미/오락,50,30,40,20,15,10,10,7,10,5
hb057,스포츠/문화/레저,문화,서점,10,15,10,10,10,15,5,10,5,5
hb061,여행/교통,숙박,호텔/콘도,5,12,12,15,10,15,10,15,10,10
hb062,여행/교통,숙박,모텔/여관,12,10,7,5,5,3,1,1,1,1
hb063,여행/교통,여행,여행사,15,10,3,3,3,5,3,3,3,5
hb064,여행/교통,여행,면세점,5,5,2,2,2,3,2,2,2,2
hb071,미용,미용,미용서비스,10,12,5,12,5,15,5,12,5,12
hb072,미용,미용,미용실,15,7,15,7,12,7,12,10,12,10
hb073,미용,화장품,화장품,5,15,7,12,7,10,5,10,5,10
hb081,가정생활/서비스,서비스,생활서비스,2,10,10,20,20,20,10,15,5,10
hb082,가정생활/서비스,서비스,세탁소,2,5,15,20,20,20,17,15,10,10
hb083,가정생활/서비스,서비스,업무서비스,2,5,7,7,10,7,15,10,5,5
hb091,교육/학원,학원,학원,5,5,10,15,20,20,30,30,2,2
hb092,교육/학원,유아교육,유아교육,1,1,10,40,30,20,10,5,10,10
hb093,교육/학원,교육용품,교육용품,1,1,10,40,30,30,10,5,20,2
hb101,의료,병원,종합병원,3,5,3,5,5,7,15,15,30,30
hb102,의료,병원,일반병원,5,3,5,5,5,5,15,15,30,30
hb103,의료,병원,치과병원,5,3,3,3,5,5,15,15,20,30
hb104,의료,병원,한의원,1,3,3,3,5,5,15,15,20,20
hb105,의료,약국,약국,5,5,5,7,7,7,15,15,30,30
hb111,가전/가구,가전/가구,가전,1,1,7,7,5,5,5,5,5,5
hb112,가전/가구,가전/가구,가구,1,1,7,7,5,5,5,5,5,5
hb131,주유,주유,주유소,3,3,15,10,20,15,15,7,10,5
hb132,주유,주유,LPG,3,3,15,10,20,15,15,7,10,5
