CODE,BIG,MIDDLE,SMALL,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
hb011,요식/유흥,요식,한식,10,30,20,30,50,35,20,50,50,50
hb012,요식/유흥,요식,일식/중식/양식,40,20,20,20,40,35,30,35,35,40
hb013,요식/유흥,요식,제과점,20,15,20,30,15,25,30,20,15,20
hb014,요식/유흥,요식,커피전문점,30,25,30,30,30,25,35,20,15,20
hb015,요식/유흥,요식,패스트푸드,40,15,20,10,10,5,5,5,5,5
hb016,요식/유흥,유흥,노래방,20,10,20,10,5,5,10,5,5,5
hb017,요식/유흥,유흥,기타유흥업소,5,5,10,10,15,10,15,5,5,5
hb018,요식/유흥,유흥,유흥주점,30,10,30,20,30,10,30,10,15,5
hb021,유통,유통,백화점,5,10,20,30,20,25,20,40,15,20
hb022,유통,유통,할인점,15,40,15,20,15,15,10,3,10,20
hb023,유통,유통,슈퍼마켓,15,40,15,15,15,15,15,15,10,20
hb024,유통,유통,생활잡화,20,35,15,15,15,20,15,1,10,15
hb025,유통,유통,편의점,35,25,35,35,20,15,15,15,10,10
hb031,음/식료품,음/식료품,정육점,5,15,10,20,15,15,10,15,10,15
hb032,음/식료품,음/식료품,농수산물,5,15,10,20,15,15,10,15,15,15
hb033,음/식료품,음/식료품,기타음/식료품,10,10,10,20,10,10,10,15,10,15
hb041,의류/잡화,의복/의류,의복/의류,20,20,20,30,20,25,15,15,10,15
hb042,의류/잡화,패션/잡화,패션/잡화,15,15,25,30,20,25,15,15,10,15
hb043,의류/잡화,패션/잡화,안경,2,2,2,2,5,5,5,5,5,5
hb044,의류/잡화,패션/잡화,귀금속,2,2,2,2,5,5,10,5,10,20
hb051,스포츠/문화/레저,스포츠,실내골프/헬스,20,15,20,15,35,10,30,15,25,10
hb052,스포츠/문화/레저,스포츠,실외골프/스키,20,5,20,10,25,10,20,15,10,10
hb053,스포츠/문화/레저,스포츠,스포츠시설,20,15,20,10,20,5,20,15,10,15
hb054,스포츠/문화/레저,레저,종합레저시설,20,10,20,20,20,20,20,10,20,10
hb055,스포츠/문화/레저,문화,영화/공연,20,12,20,20,15,30,10,25,10,20
hb056,스포츠/문화/레저,문화,취미/오락,30,10,20,10,15,10,15,20,20,20
hb057,스포츠/문화/레저,문화,서점,10,15,10,10,10,15,5,10,10,10
hb061,여행/교통,숙박,호텔/콘도,10,10,10,20,20,20,10,20,15,15
hb062,여행/교통,숙박,모텔/여관/기타숙박,15,5,10,5,10,5,5,5,5,2
hb063,여행/교통,여행,여행사,5,5,5,5,5,5,10,5,20,20
hb064,여행/교통,여행,면세점,5,5,3,10,3,15,3,3,3,3
hb071,미용,미용,미용서비스,5,10,5,20,5,15,5,15,5,15
hb072,미용,미용,미용실,20,5,20,10,15,15,10,10,10,15
hb073,미용,화장품,화장품,5,10,10,20,10,10,5,10,5,10
hb081,가정생활/서비스,서비스,생활서비스,5,5,20,20,10,10,5,15,5,10
hb082,가정생활/서비스,서비스,세탁소,5,5,20,10,20,20,20,10,10,5
hb083,가정생활/서비스,서비스,업무서비스,5,5,10,10,10,10,15,15,10,5
hb091,교육/학원,학원,학원,2,2,5,5,15,15,15,15,2,2
hb092,교육/학원,유아교육,유아교육,2,2,5,10,10,10,5,10,2,2
hb093,교육/학원,교육용품,교육용품,5,5,7,10,7,10,5,5,2,2
hb101,의료,병원,종합병원,5,5,5,7,7,10,10,10,10,10
hb102,의료,병원,일반병원,5,5,7,7,7,7,10,7,5,10
hb103,의료,병원,치과병원,5,5,5,5,7,7,7,7,7,7
hb104,의료,병원,한의원,5,5,5,10,7,7,10,10,10,10
hb105,의료,약국,약국,5,7,5,10,10,10,10,10,12,12
hb111,가전/가구,가전/가구,가전,5,2,10,10,7,7,7,7,7,7
hb112,가전/가구,가전/가구,가구,5,2,10,10,7,7,7,7,7,7
hb113,가전/가구,가전/가구,기타가전/가구,5,2,10,10,7,7,7,7,7,7
hb121,자동차,자동차서비스/용품,자동차서비스,2,2,10,7,10,7,15,7,10,5
hb122,자동차,자동차서비스/용품,자동차용품,2,2,10,7,10,7,15,7,10,5
hb131,주유,주유,주유소,5,2,15,10,15,15,20,10,15,5
hb132,주유,주유,LPG,5,2,15,10,15,15,20,10,15,5
